,Name,Categories,Average Price Per Person,Address,Google Link
8,Tea Bar,Affordable,100-150,Laxmi Nagar,https://www.google.com/search?q=tea+bar+nagpur&oq=tea+bar+nagpur&aqs=chrome.0.0i355i512j46i175i199i512j0i512j0i22i30l2j0i390l4.3789j0j9&sourceid=chrome&ie=UTF-8
8,Tea Bar,Beverages,100-150,Laxmi Nagar,https://www.google.com/search?q=tea+bar+nagpur&oq=tea+bar+nagpur&aqs=chrome.0.0i355i512j46i175i199i512j0i512j0i22i30l2j0i390l4.3789j0j9&sourceid=chrome&ie=UTF-8
9,San Sebastian Cafe,Beverages,100-150,Laxmi Nagar Square,
12,All That's Coffee,Affordable,100-150,"Pratap Nagar, Manish Nagar, Dharampeth, Wardhaman Nagar",
12,All That's Coffee,Beverages,100-150,"Pratap Nagar, Manish Nagar, Dharampeth, Wardhaman Nagar",
15,Gayatri Bhojnalay,Affordable,100-150,Dharampeth,https://www.google.com/search?gs_ssp=eJzj4tVP1zc0TDItyLJMyzEwYLRSNagwTkoxSTYwMzC1sLBITDZLsTKoSDZPTDVMSTMySTNJMUlLTfWSTE-sTCwpylRIysjPykvMAfIU8hLTC0qLAMktGcM&q=gayatri+bhojnalaya+nagpur&oq=gayatri+b&aqs=chrome.1.0i512j46i20i175i199i263i512j0i512j46i175i199i512l2j46i433i512j46i175i199i512j69i57j46i199i465i512j46i512.2580j0j9&sourceid=chrome&ie=UTF-8
15,Gayatri Bhojnalay,Pure Veg,100-150,Dharampeth,https://www.google.com/search?gs_ssp=eJzj4tVP1zc0TDItyLJMyzEwYLRSNagwTkoxSTYwMzC1sLBITDZLsTKoSDZPTDVMSTMySTNJMUlLTfWSTE-sTCwpylRIysjPykvMAfIU8hLTC0qLAMktGcM&q=gayatri+bhojnalaya+nagpur&oq=gayatri+b&aqs=chrome.1.0i512j46i20i175i199i263i512j0i512j46i175i199i512l2j46i433i512j46i175i199i512j69i57j46i199i465i512j46i512.2580j0j9&sourceid=chrome&ie=UTF-8
15,Gayatri Bhojnalay,Main Course,100-150,Dharampeth,https://www.google.com/search?gs_ssp=eJzj4tVP1zc0TDItyLJMyzEwYLRSNagwTkoxSTYwMzC1sLBITDZLsTKoSDZPTDVMSTMySTNJMUlLTfWSTE-sTCwpylRIysjPykvMAfIU8hLTC0qLAMktGcM&q=gayatri+bhojnalaya+nagpur&oq=gayatri+b&aqs=chrome.1.0i512j46i20i175i199i263i512j0i512j46i175i199i512l2j46i433i512j46i175i199i512j69i57j46i199i465i512j46i512.2580j0j9&sourceid=chrome&ie=UTF-8
18,Dubai Duqaan - Shawarmas,Affordable,100-150,Abhyankar Nagar,https://www.google.com/search?q=dubai+duqaan+nagpur&oq=dubai+duqaan+nagpur&aqs=chrome..69i57j33i160l2.3877j0j9&sourceid=chrome&ie=UTF-8
20,Frullato,Affordable,100-150,"Bajaj Nagar, Sadar",
20,Frullato,Beverages,100-150,"Bajaj Nagar, Sadar",
21,Dessertino,Affordable,100-150,Bajaj Nagar,
21,Dessertino,Beverages,100-150,Bajaj Nagar,
22,Bagelo Escobar,Mid Range,100-150,Bajaj Nagar,https://www.google.com/search?q=bagelo+escobar+nagpur&oq=bagelo+esc&aqs=chrome.0.0i20i263i355i512j46i20i175i199i263i512j69i57.2655j0j9&sourceid=chrome&ie=UTF-8
28,Rajendra Chinese,Affordable,100-150,Bajaj Nagar,https://www.google.com/search?q=rajendra+chinese+nagpur&oq=Rajendra+chinese&aqs=chrome.0.0i20i263i355i512j46i20i175i199i263i512j69i57.3918j0j9&sourceid=chrome&ie=UTF-8
28,Rajendra Chinese,Chinese,100-150,Bajaj Nagar,https://www.google.com/search?q=rajendra+chinese+nagpur&oq=Rajendra+chinese&aqs=chrome.0.0i20i263i355i512j46i20i175i199i263i512j69i57.3918j0j9&sourceid=chrome&ie=UTF-8
29,Theka Coffee,Affordable,100-150,Bajaj Nagar,"https://www.google.com/search?q=theka%20coffee%20nagpur&oq=theka+&aqs=chrome.4.69i57j0i20i131i263i433i457i512j0i402l2j0i20i131i263i433i512j46i175i199i512j0i512l2j46i175i199i512j0i512.2784j0j9&sourceid=chrome&ie=UTF-8&tbs=lf:1,lf_ui:9&tbm=lcl&sxsrf=ALiCzsY5zFcguF-cbCG1zZlUau7FGQqPLg:1672905598110&rflfq=1&num=10&rldimm=17190917616369351509&lqi=ChN0aGVrYSBjb2ZmZWUgbmFncHVySLjd_LusuICACFonEAAQARgAGAEYAiITdGhla2EgY29mZmVlIG5hZ3B1cioGCAIQABABkgELY29mZmVlX3Nob3A&phdesc=fNB9B6gOsNg&ved=2ahUKEwi06qv_-q_8AhVrxzgGHdw8A1oQvS56BAgeEAE&sa=X&rlst=f#rlfi=hd:;si:17190917616369351509,l,ChN0aGVrYSBjb2ZmZWUgbmFncHVySLjd_LusuICACFonEAAQARgAGAEYAiITdGhla2EgY29mZmVlIG5hZ3B1cioGCAIQABABkgELY29mZmVlX3Nob3A,y,fNB9B6gOsNg;mv:[[21.168428499999997,79.0860306],[21.105166399999998,78.99702169999999]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:9"
29,Theka Coffee,Beverages,100-150,Bajaj Nagar,"https://www.google.com/search?q=theka%20coffee%20nagpur&oq=theka+&aqs=chrome.4.69i57j0i20i131i263i433i457i512j0i402l2j0i20i131i263i433i512j46i175i199i512j0i512l2j46i175i199i512j0i512.2784j0j9&sourceid=chrome&ie=UTF-8&tbs=lf:1,lf_ui:9&tbm=lcl&sxsrf=ALiCzsY5zFcguF-cbCG1zZlUau7FGQqPLg:1672905598110&rflfq=1&num=10&rldimm=17190917616369351509&lqi=ChN0aGVrYSBjb2ZmZWUgbmFncHVySLjd_LusuICACFonEAAQARgAGAEYAiITdGhla2EgY29mZmVlIG5hZ3B1cioGCAIQABABkgELY29mZmVlX3Nob3A&phdesc=fNB9B6gOsNg&ved=2ahUKEwi06qv_-q_8AhVrxzgGHdw8A1oQvS56BAgeEAE&sa=X&rlst=f#rlfi=hd:;si:17190917616369351509,l,ChN0aGVrYSBjb2ZmZWUgbmFncHVySLjd_LusuICACFonEAAQARgAGAEYAiITdGhla2EgY29mZmVlIG5hZ3B1cioGCAIQABABkgELY29mZmVlX3Nob3A,y,fNB9B6gOsNg;mv:[[21.168428499999997,79.0860306],[21.105166399999998,78.99702169999999]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:9"
30,MBA Chaiwala,Affordable,100-150,Bajaj Nagar,https://www.google.com/search?q=mba+chai+wala+nagpur&sxsrf=ALiCzsZ1HX6oRMLztX9rKkiVT-rbqzcXzw%3A1672905635561&ei=o4O2Y_TzIazqjuMPkO-DMA&ved=0ahUKEwi00ZmR-6_8AhUstWMGHZD3AAYQ4dUDCA8&uact=5&oq=mba+chai+wala+nagpur&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIFCAAQgAQyBQgAEIAEMgsILhCvARDHARCABDIFCAAQgAQyBQgAEIYDMgUIABCGAzIFCAAQhgM6CggAEEcQ1gQQsAM6BwgAELADEEM6BAgAEEM6CwguEIAEEMcBEK8BOgoIABCABBCHAhAUOgYIABAWEB5KBAhBGABKBAhGGABQ0wNY4Q5gyhBoAXABeACAAeMBiAG3C5IBBTAuMi41mAEAoAEByAEKwAEB&sclient=gws-wiz-serp
30,MBA Chaiwala,Beverages,100-150,Bajaj Nagar,https://www.google.com/search?q=mba+chai+wala+nagpur&sxsrf=ALiCzsZ1HX6oRMLztX9rKkiVT-rbqzcXzw%3A1672905635561&ei=o4O2Y_TzIazqjuMPkO-DMA&ved=0ahUKEwi00ZmR-6_8AhUstWMGHZD3AAYQ4dUDCA8&uact=5&oq=mba+chai+wala+nagpur&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIFCAAQgAQyBQgAEIAEMgsILhCvARDHARCABDIFCAAQgAQyBQgAEIYDMgUIABCGAzIFCAAQhgM6CggAEEcQ1gQQsAM6BwgAELADEEM6BAgAEEM6CwguEIAEEMcBEK8BOgoIABCABBCHAhAUOgYIABAWEB5KBAhBGABKBAhGGABQ0wNY4Q5gyhBoAXABeACAAeMBiAG3C5IBBTAuMi41mAEAoAEByAEKwAEB&sclient=gws-wiz-serp
31,Shrinath Pavbhaji,Affordable,100-150,Bajaj Nagar,https://www.google.com/search?q=Shrinath+pavbhaji+bajaj+nagar&oq=Shrinath+pavbhaji+bajaj+nagar&aqs=chrome..69i57j46i10i13i175i199i512j0i22i30j0i390l4.10476j0j9&sourceid=chrome&ie=UTF-8
31,Shrinath Pavbhaji,Roadside Chinese,100-150,Bajaj Nagar,https://www.google.com/search?q=Shrinath+pavbhaji+bajaj+nagar&oq=Shrinath+pavbhaji+bajaj+nagar&aqs=chrome..69i57j46i10i13i175i199i512j0i22i30j0i390l4.10476j0j9&sourceid=chrome&ie=UTF-8
31,Shrinath Pavbhaji,Chaat,100-150,Bajaj Nagar,https://www.google.com/search?q=Shrinath+pavbhaji+bajaj+nagar&oq=Shrinath+pavbhaji+bajaj+nagar&aqs=chrome..69i57j46i10i13i175i199i512j0i22i30j0i390l4.10476j0j9&sourceid=chrome&ie=UTF-8
32,New Famous Chat,Affordable,100-150,Bajaj Nagar,
32,New Famous Chat,Roadside Chinese,100-150,Bajaj Nagar,
32,New Famous Chat,Chaat,100-150,Bajaj Nagar,
